Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
MechFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,
VaultDwellersFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,
RedteamFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,
BlueteamFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,
GreenteamFactionSchematic,items,Item,,,Master of disguse,,,,Maitre de l'écoeurement,,変装の名人,,,,,,,
MechFactionSchematicDesc,items,Item,,,Read this to switch over to the bandit faction!,,,,Lisez ceci pour basculer dans la faction des Mech!,,派閥変更・メカ,,,,,,,
VaultDwellersFactionSchematicDesc,items,Item,,,Read this to switch over to the undead faction!,,,,Lisez ceci pour basculer dans la faction des VaultDwellers!,,派閥変更・ボルト住人,,,,,,,
RedteamFactionSchematicDesc,items,Item,,,Read this to switch over to the Red team!,,,,Lisez ceci pour basculer dans la faction Redteam!,,チーム変更・赤,,,,,,,
BlueteamFactionSchematicDesc,items,Item,,,Read this to switch over to the Blue team!,,,,Lisez ceci pour basculer dans la faction Blue team!,,チーム変更・青,,,,,,,
GreenteamFactionSchematicDesc,items,Item,,,Read this to switch over to the Green Team!,,,,Lisez ceci pour basculer dans la faction Green Team!,,チーム変更・緑,,,,,,,
MechPositiveFactionSchematic,items,Item,,,Peace and Love to the Mechs,,,,,,ピース&ラブ・メカ,,,,,,,
MechPositiveFactionSchematicDesc,items,Item,,,Read this to spread the message of the mechs! Increase your standings with the mechs!,,,,,,メカの考えを拡散します。\n\nメカの信頼を得ます。,,,,,,,
MechNegativeFactionSchematic,items,Item,,,Mechs: Unreliable! Untrustworthy!,,,,,,メカ: 頼りにならない！信用できない！,,,,,,,
MechNegativeFactionSchematicDesc,items,Item,,,Read this to spread lies and fake news about the mechs! Decrease your standings with the mechs!,,,,,,メカのデマや悪い噂を拡散します。\n\nメカの信頼を失います。,,,,,,,
VaultPositiveFactionSchematic,items,Item,,,Peace and Love to the Vault,,,,,,ピース&ラブ・ボルト,,,,,,,
VaultPositiveFactionSchematicDesc,items,Item,,,Read this to spread the message of the vault! Increase your standings with the vault!,,,,,,ボルトの考えを拡散します。\n\nボルトの信頼を得ます。,,,,,,,
VaultNegativeFactionSchematic,items,Item,,,The Vault: Unreliable! Untrustworthy!,,,,,,ボルト: 頼りにならない！信用できない！,,,,,,,
VaultNegativeFactionSchematicDesc,items,Item,,,Read this to spread lies and fake news about the vault! Decrease your standings with the vault!,,,,,,ボルトのデマや悪い噂を拡散します。\n\nボルトの信頼を失います。,,,,,,,
RedteamPositiveFactionSchematic,items,Item,,,Peace and Love to the Redteam,,,,,,ピース&ラブ・赤チーム,,,,,,,
RedteamPositiveFactionSchematicDesc,items,Item,,,Read this to spread the message of the Redteam! Increase your standings with the Redteam!,,,,,,赤チームの考えを拡散します。\n\n赤チームの信頼を得ます。,,,,,,,
RedteamNegativeFactionSchematic,items,Item,,,The Redteam: Unreliable! Untrustworthy!,,,,,,赤チーム: 頼りにならない！信用できない！,,,,,,,
RedteamNegativeFactionSchematicDesc,items,Item,,,Read this to spread lies and fake news about the Redteam! Decrease your standings with the Redteam!,,,,,,赤チームのデマや悪い噂を拡散します。\n\n赤チームの信頼を失います。,,,,,,,
BlueteamPositiveFactionSchematic,items,Item,,,Peace and Love to the Blueteam,,,,,,ピース&ラブ・青チーム,,,,,,,
BlueteamPositiveFactionSchematicDesc,items,Item,,,Read this to spread the message of the Blueteam! Increase your standings with the Blueteam!,,,,,,青チームの考えを拡散します。\n\n青チームの信頼を得ます。,,,,,,,
BlueteamNegativeFactionSchematic,items,Item,,,The Blueteam: Unreliable! Untrustworthy!,,,,,,青チーム: 頼りにならない！信用できない！,,,,,,,
BlueteamNegativeFactionSchematicDesc,items,Item,,,Read this to spread lies and fake news about the Blueteam! Decrease your standings with the Blueteam!,,,,,,青チームのデマや悪い噂を拡散します。\n\n青チームの信頼を失います。,,,,,,,
GreenteamPositiveFactionSchematic,items,Item,,,Peace and Love to the Greenteam,,,,,,ピース&ラブ・緑チーム,,,,,,,
